product_name,category,material,review_num,image_url,rating,size_recommendations,styling_suggestion,unique_product_features,keywords,recommend_indicators
나이키 코트 레거시 넥스트 네이처 DH3162-100,스니커즈,인조가죽,237,https://img.danawa.com/prod_img/500000/972/945/img/17945972_1.jpg?shrink=330:*&_v=20221006135719,4.8
닥터마틴 단테 16736001,캐주얼화,천연가죽,233,https://img.danawa.com/prod_img/500000/309/644/img/3644309_1.jpg?shrink=330:*&_v=20220704175302,4.2
락포트 토탈모션 시드니 펌프스 CH9502,구두,천연가죽,208,https://img.danawa.com/prod_img/500000/881/486/img/10486881_1.jpg?shrink=330:*&_v=20230315155012,5.0
스케쳐스 고 워크 플렉스 스웨이드 SP0MWCDY181,워킹화,천연가죽,203,https://img.danawa.com/prod_img/500000/523/869/img/29869523_1.jpg?shrink=330:*&_v=20231108161946,4.0
탠디 옥스퍼드 H0030V C-105,구두,천연가죽,190,https://img.danawa.com/prod_img/500000/073/041/img/2041073_1.jpg?shrink=330:*&_v=20230203104643,4.5
로크 구두 771B,구두,천연가죽,182,https://img.danawa.com/prod_img/500000/051/873/img/4873051_1.jpg?shrink=330:*&_v=20230406173023,4.0
반스 코어클래식 어센틱 VN000EE3,캐주얼화,패브릭,170,https://img.danawa.com/prod_img/500000/592/731/img/1731592_1.jpg?shrink=330:*&_v=20230824175019,4.5
밸롭 봄버 에어 어글리슈즈,캐주얼화,PU,163,https://img.danawa.com/prod_img/500000/230/040/img/14040230_1.jpg?shrink=330:*&_v=20230524092141,4.5
라코스테 카나비 에보 BL21 1 SMA 7-41SMA0002-042,캐주얼화,천연가죽+폴리우레탄,144,https://img.danawa.com/prod_img/500000/483/811/img/16811483_1.jpg?shrink=330:*&_v=20220413085422,5.0
아디다스 삼바 OG B75806,스니커즈,인조가죽,144,https://img.danawa.com/prod_img/500000/625/209/img/6209625_1.jpg?shrink=330:*&_v=20220922174453,3.8
UGG 클래식 울트라 미니 1116109,부츠,천연가죽,143,https://img.danawa.com/prod_img/500000/929/603/img/15603929_1.jpg?shrink=330:*&_v=20230913155422,5.0
UGG 클래식 미니 Ⅱ 1016222,부츠,천연가죽,142,https://img.danawa.com/prod_img/500000/384/595/img/4595384_1.jpg?shrink=330:*&_v=20230913153814,4.8
리갈 201D 티롤리안 슈즈 MMX5029FG31,캐주얼화,천연가죽,138,https://img.danawa.com/prod_img/500000/177/447/img/5447177_1.jpg?shrink=330:*&_v=20211214133536,3.8
프로스펙스 파워소닉 513 PW0UW21F533,워킹화,폴리에스터,127,https://img.danawa.com/prod_img/500000/015/035/img/15035015_1.jpg?shrink=330:*&_v=20210819125909,4.8
프로스펙스 파워소닉 511 PW0UW21F531,워킹화,폴리에스터,126,https://img.danawa.com/prod_img/500000/949/034/img/15034949_1.jpg?shrink=330:*&_v=20211103112355,5.0
스케쳐스 고 워크 아웃도어 SP0MW22Y111,워킹화,"천연가죽,폴리에스터",126,https://img.danawa.com/prod_img/500000/260/018/img/18018260_1.jpg?shrink=330:*&_v=20221018100815,3.8
프로스펙스 데일리워크 202 PW0UW22S292,워킹화,인조가죽,122,https://img.danawa.com/prod_img/500000/570/262/img/16262570_1.jpg?shrink=330:*&_v=20220124153410,3.5
락포트 드레스포츠3 알란다 CJ2594,구두,천연가죽,122,https://img.danawa.com/prod_img/500000/953/080/img/19080953_1.jpg?shrink=330:*&_v=20230912093618,3.5
아디다스 알파컴피 GX1790,런닝화,폴리에스터,121,https://img.danawa.com/prod_img/500000/703/353/img/17353703_1.jpg?shrink=330:*&_v=20220701183217,4.0
디스커버리 익스페디션 브릭 DXSH3111N-BES,운동화,인조가죽,116,https://img.danawa.com/prod_img/500000/153/058/img/16058153_1.jpg?shrink=330:*&_v=20220921151407,4.2
락포트 찰스 로드 플레인 토 V80553,구두,천연가죽,116,https://img.danawa.com/prod_img/500000/986/341/img/13341986_1.jpg?shrink=330:*&_v=20210827124917,5.0
푸마 터프 패디드 392191-01,슬리퍼,폴리에스터,113,https://img.danawa.com/prod_img/500000/560/009/img/18009560_1.jpg?shrink=330:*&_v=20221020141328,4.5
크록스 클래식 플랫폼 라인드 클로그 207938-2Y2,샌들,EVA,112,https://img.danawa.com/prod_img/500000/545/470/img/28470545_1.jpg?shrink=330:*&_v=20230925172159,4.2
락포트 컬드웰 레이스투토 CI9243,캐주얼화,천연가죽,107,https://img.danawa.com/prod_img/500000/560/121/img/17121560_1.jpg?shrink=330:*&_v=20220602104512,3.5
오니츠카타이거 멕시코 66 빈티지 1183B391,캐주얼화,천연가죽,102,https://img.danawa.com/prod_img/500000/921/194/img/12194921_1.jpg?shrink=330:*&_v=20230824175240,4.2
락포트 시티 라이트 콜 타이 CH3342,캐주얼화,천연가죽,102,https://img.danawa.com/prod_img/500000/132/724/img/6724132_1.jpg?shrink=330:*&_v=20220602163121,4.2
아디다스 클라이마웜 GZ1643,런닝화,인조가죽,95,https://img.danawa.com/prod_img/500000/207/386/img/18386207_1.jpg?shrink=330:*&_v=20221129130141,4.8
오트리 메달리스트 고트 스니커즈 AULM-GG,캐주얼화,천연가죽,92,https://img.danawa.com/prod_img/500000/219/043/img/16043219_1.jpg?shrink=330:*&_v=20230828164407,3.5
UGG 디스케트 1122550-CHE,슬리퍼,천연가죽,90,https://img.danawa.com/prod_img/500000/669/584/img/15584669_1.jpg?shrink=330:*&_v=20230412163151,4.5
에버라스트 하이탑 방한워커,워커,PU,89,https://img.danawa.com/prod_img/500000/189/350/img/18350189_1.jpg?shrink=330:*&_v=20221122180106,4.5
리복 로얄 대쉬오닉 DV5120,운동화,인조가죽,88,https://img.danawa.com/prod_img/500000/399/856/img/6856399_1.jpg?shrink=330:*&_v=20230424164025,4.5
락포트 트루플렉스 케이든 플레인 토 CI7682,캐주얼화,인조가죽+천연가죽+텍스타일,87,https://img.danawa.com/prod_img/500000/885/928/img/16928885_1.jpg?shrink=330:*&_v=20220427151835,4.2
휠라 플루이드 1JM01248D_100,운동화,인조가죽,87,https://img.danawa.com/prod_img/500000/312/111/img/14111312_1.jpg?shrink=330:*&_v=20210506170849,4.8
소다 드레스 정장구두 APM938FA10,구두,천연가죽,84,https://img.danawa.com/prod_img/500000/540/979/img/13979540_1.jpg?shrink=330:*&_v=20210422152202,4.8
크록스 바야 플랫폼 라인드 클로그 208708-11S,샌들,EVA,83,https://img.danawa.com/prod_img/500000/978/325/img/28325978_1.jpg?shrink=330:*&_v=20230918110230,3.5
스프리스 덕다운 패딩 슬립온 HMSS2W01PP,캐주얼화,폴리에스터+천연가죽+인조가죽,83,https://img.danawa.com/prod_img/500000/745/406/img/18406745_1.jpg?shrink=330:*&_v=20221201133446,4.2
아디다스 아디퍼프 IF4229,슬립온,인조가죽,80,https://img.danawa.com/prod_img/500000/897/445/img/28445897_1.jpg?shrink=330:*&_v=20230922135237,5.0
크록스 올터레인 라인드 클로그 207936-1LM,샌들,EVA+폴리에스터,77,https://img.danawa.com/prod_img/500000/461/326/img/28326461_1.jpg?shrink=330:*&_v=20230925172541,4.0
스케쳐스 고 워크 아치핏 아웃도어 SP0MW22Y141,슬립온,폴리에스터,75,https://img.danawa.com/prod_img/500000/356/171/img/13171356_1.jpg?shrink=330:*&_v=20221004163418,3.5
락포트 컬드웰 플레인 토 CI6426,캐주얼화,천연가죽,72,https://img.danawa.com/prod_img/500000/978/863/img/15863978_1.jpg?shrink=330:*&_v=20220602160731,3.5
나이키 코트 버로우 로우 리크래프트 DV5456-104,운동화,"인조가죽,폴리에스터",69,https://img.danawa.com/prod_img/500000/482/736/img/20736482_1.jpg?shrink=330:*&_v=20230630090726,4.2
아디다스 이큅먼트 10 EM GZ0315,런닝화,나일론,69,https://img.danawa.com/prod_img/500000/064/882/img/13882064_1.jpg?shrink=330:*&_v=20221122140000,4.5
탠디 정장구두 H15019V K-003,구두,천연가죽,69,https://img.danawa.com/prod_img/500000/078/297/img/7297078_1.jpg?shrink=330:*&_v=20230303173211,4.8
골든구스 슈퍼스타 스니커즈 GMF00101 F000316 10272,캐주얼화,천연가죽,67,https://img.danawa.com/prod_img/500000/434/087/img/12087434_1.jpg?shrink=330:*&_v=20230210104534,5.0
UGG 클래식 클리어 미니 1113190-NBLC,부츠,TPU,62,https://img.danawa.com/prod_img/500000/589/541/img/15541589_1.jpg?shrink=330:*&_v=20221221130813,3.5
크록스 바야 라인드 퍼즈 스트랩 마블 클로그 209241-94S,샌들,EVA,60,https://img.danawa.com/prod_img/500000/782/470/img/28470782_1.jpg?shrink=330:*&_v=20230925172723,4.2
디스커버리 익스페디션 레스터 QT 부츠 DXSH6122N-WHS,부츠,폴리에스터,60,https://img.danawa.com/prod_img/500000/531/053/img/18053531_1.jpg?shrink=330:*&_v=20221020124712,4.5
내셔널지오그래픽 플러핀 N224UWT053 (블랙),슬립온,인조가죽,57,https://img.danawa.com/prod_img/500000/056/000/img/18000056_1.jpg?shrink=330:*&_v=20221014125037,3.5
뉴발란스 480 런닝화 4E W480BM5 NBPFCF767B,런닝화,폴리에스터,57,https://img.danawa.com/prod_img/500000/510/395/img/12395510_1.jpg?shrink=330:*&_v=20230127152307,4.8
리복 데이토나 DMX 2 DV7256,런닝화,폴리에스터,55,https://img.danawa.com/prod_img/500000/782/231/img/10231782_1.jpg?shrink=330:*&_v=20230424164150,5.0
리차드 소가죽 정장화 RICOXC7034MF1,구두,천연가죽,54,https://img.danawa.com/prod_img/500000/175/292/img/15292175_1.jpg?shrink=330:*&_v=20220111133906,4.5
나이키 메트콘 9 DZ2617-001,트레이닝화,폴리에스터,53,https://img.danawa.com/prod_img/500000/123/022/img/25022123_1.jpg?shrink=330:*&_v=20230801091904,4.2
락포트 찰스로드 캡토 정장화 V80556,구두,천연가죽,52,https://img.danawa.com/prod_img/500000/645/650/img/12650645_1.jpg?shrink=330:*&_v=20220331092838,4.0
락포트 매트로 패스 슬립온 CI6362,캐주얼화,천연가죽,48,https://img.danawa.com/prod_img/500000/641/777/img/15777641_1.jpg?shrink=330:*&_v=20211125095140,3.8
푸마 밀레니오 SD 393940-01,런닝화,"천연가죽,폴리에스터",47,https://img.danawa.com/prod_img/500000/646/763/img/18763646_1.jpg?shrink=330:*&_v=20230116082440,4.0
크록스 스톰프 라인드 클로그 208546-160,샌들,EVA+폴리에스터,46,https://img.danawa.com/prod_img/500000/176/326/img/28326176_1.jpg?shrink=330:*&_v=20231122101107,4.0
